"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,4,10,12,2,2010-10-12,"AS",19930,"AS","N613AS",625,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14057,1405701,34057,"PDX","Portland, OR","OR",41,"Oregon",92,1040,1042,2,2,0,0,"1000-1059",12,1054,1254,4,1256,1258,2,2,0,0,"1200-1259",0,"",0,136,136,120,1,762,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,9,6,2010-10-09,"WN",19393,"WN","N385SW",284,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,10140,1014001,30140,"ABQ","Albuquerque, NM","NM",35,"New Mexico",86,1145,1143,-2,0,0,-1,"1100-1159",13,1156,1404,4,1410,1408,-2,0,0,-1,"1400-1459",0,"",0,85,85,68,1,487,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,10,7,2010-10-10,"CO",19704,"CO","N57869",1496,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,100,56,-4,0,0,-1,"0001-0559",12,108,526,8,541,534,-7,0,0,-1,"0001-0559",0,"",0,161,158,138,1,1222,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,1,5,2010-10-01,"UA",19977,"UA","N420UA",791,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,620,614,-6,0,0,-1,"0600-0659",13,627,854,6,915,900,-15,0,0,-1,"0900-0959",0,"",0,115,106,87,1,629,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,1,5,2010-10-01,"FL",20437,"FL","N318AT",220,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13342,1334202,33342,"MKE","Milwaukee, WI","WI",55,"Wisconsin",45,1826,1822,-4,0,0,-1,"1800-1859",24,1846,2354,4,2356,2358,2,2,0,0,"2300-2359",0,"",0,210,216,188,1,1524,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,19,2,2010-10-19,"WN",19393,"WN","N628SW",1664,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,1645,1652,7,7,0,0,"1600-1659",13,1705,1908,7,1930,1915,-15,0,0,-1,"1900-1959",0,"",0,165,143,123,1,866,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,10,7,2010-10-10,"UA",19977,"UA","N408UA",183,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,2016,2008,-8,0,0,-1,"2000-2059",14,2022,2250,4,2305,2254,-11,0,0,-1,"2300-2359",0,"",0,109,106,88,1,629,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,5,2,2010-10-05,"WN",19393,"WN","N307SW",725,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,10140,1014001,30140,"ABQ","Albuquerque, NM","NM",35,"New Mexico",86,1955,2004,9,9,0,0,"1900-1959",10,2014,2227,5,2220,2232,12,12,0,0,"2200-2259",0,"",0,85,88,73,1,487,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,19,2,2010-10-19,"B6",20409,"B6","N592JB",285,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12954,1295401,32575,"LGB","Long Beach, CA","CA",6,"California",91,1813,1814,1,1,0,0,"1800-1859",16,1830,1917,5,1917,1922,5,5,0,0,"1900-1959",0,"",0,64,68,47,1,231,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,27,3,2010-10-27,"WN",19393,"WN","N215WN",1601,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,605,603,-2,0,0,-1,"0600-0659",10,613,831,6,900,837,-23,0,0,-2,"0900-0959",0,"",0,115,94,78,1,629,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,5,2,2010-10-05,"WN",19393,"WN","N314SW",1207,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,905,900,-5,0,0,-1,"0900-0959",13,913,1108,3,1125,1111,-14,0,0,-1,"1100-1159",0,"",0,80,71,55,1,368,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,31,7,2010-10-31,"WN",19393,"WN","N742SW",287,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12191,1219101,31453,"HOU","Houston, TX","TX",48,"Texas",74,1935,1933,-2,0,0,-1,"1900-1959",9,1942,8,3,25,11,-14,0,0,-1,"0001-0559",0,"",0,170,158,146,1,1235,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,10,7,2010-10-10,"WN",19393,"WN","N525SW",2718,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,1820,1820,0,0,0,0,"1800-1859",8,1828,1935,6,1950,1941,-9,0,0,-1,"1900-1959",0,"",0,90,81,67,1,414,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,2,6,2010-10-02,"AA",19805,"AA","N5CMAA",1842,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13303,1330302,32467,"MIA","Miami, FL","FL",12,"Florida",33,2235,2231,-4,0,0,-1,"2200-2259",16,2247,553,7,605,600,-5,0,0,-1,"0600-0659",0,"",0,270,269,246,1,2175,9,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,1,5,2010-10-01,"B6",20409,"B6","N591JB",196,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,2150,2145,-5,0,0,-1,"2100-2159",13,2158,510,4,530,514,-16,0,0,-2,"0001-0559",0,"",0,280,269,252,1,2248,9,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,21,4,2010-10-21,"WN",19393,"WN","N917WN",681,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13796,1379601,32457,"OAK","Oakland, CA","CA",6,"California",91,2125,2122,-3,0,0,-1,"2100-2159",10,2132,2236,4,2255,2240,-15,0,0,-1,"2200-2259",0,"",0,90,78,64,1,407,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,15,5,2010-10-15,"DL",19790,"DL","N375NC",2840,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,1207,1213,6,6,0,0,"1200-1259",13,1226,1421,6,1433,1427,-6,0,0,-1,"1400-1459",0,"",0,86,74,55,1,368,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,28,4,2010-10-28,"WN",19393,"WN","N412WN",1294,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC",37,"North Carolina",36,935,945,10,10,0,0,"0900-0959",13,958,1640,5,1705,1645,-20,0,0,-2,"1700-1759",0,"",0,270,240,222,1,2027,9,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,16,6,2010-10-16,"UA",19977,"UA","N558UA",396,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,837,842,5,5,0,0,"0800-0859",9,851,1348,9,1408,1357,-11,0,0,-1,"1400-1459",0,"",0,211,195,177,1,1515,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,26,2,2010-10-26,"WN",19393,"WN","N432WN",1356,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,1215,1243,28,28,1,1,"1200-1259",10,1253,1337,8,1330,1345,15,15,1,1,"1300-1359",0,"",0,75,62,44,1,236,1,0,0,0,0,15,NA,NA,NA
2010,4,10,25,1,2010-10-25,"WN",19393,"WN","N427WN",548,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1205,1206,1,1,0,0,"1200-1259",25,1231,1725,4,1740,1729,-11,0,0,-1,"1700-1759",0,"",0,215,203,174,1,1521,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,31,7,2010-10-31,"AA",19805,"AA","N274AA",793,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,820,811,-9,0,0,-1,"0800-0859",19,830,916,20,930,936,6,6,0,0,"0900-0959",0,"",0,70,85,46,1,236,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,5,2,2010-10-05,"WN",19393,"WN","N273WN",1120,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13871,1387101,33316,"OMA","Omaha, NE","NE",31,"Nebraska",65,1750,1835,45,45,1,3,"1700-1759",8,1843,2255,3,2230,2258,28,28,1,1,"2200-2259",0,"",0,160,143,132,1,1099,5,27,0,0,0,1,NA,NA,NA
2010,4,10,10,7,2010-10-10,"US",20355,"US","N334AW",644,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,1440,1438,-2,0,0,-1,"1400-1459",17,1455,1543,5,1549,1548,-1,0,0,-1,"1500-1559",0,"",0,69,70,48,1,256,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,6,3,2010-10-06,"WN",19393,"WN","N335SW",2209,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13158,1315802,33158,"MAF","Midland/Odessa, TX","TX",48,"Texas",74,1210,1209,-1,0,0,-1,"1200-1259",26,1235,1618,7,1615,1625,10,10,0,0,"1600-1659",0,"",0,125,136,103,1,796,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,5,2,2010-10-05,"UA",19977,"UA","N448UA",289,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,1058,1052,-6,0,0,-1,"1000-1059",22,1114,1156,5,1210,1201,-9,0,0,-1,"1200-1259",0,"",0,72,69,42,1,236,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,27,3,2010-10-27,"WN",19393,"WN","N215WN",1601,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,605,603,-2,0,0,-1,"0600-0659",10,613,831,6,900,837,-23,0,0,-2,"0900-0959",0,"",0,115,94,78,1,629,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,25,1,2010-10-25,"OO",20304,"OO","N217SW",6237,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11638,1163802,31638,"FAT","Fresno, CA","CA",6,"California",91,1642,1649,7,7,0,0,"1600-1659",12,1701,1804,3,1816,1807,-9,0,0,-1,"1800-1859",0,"",0,94,78,63,1,258,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,23,6,2010-10-23,"WN",19393,"WN","N444WN",2680,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12451,1245101,31136,"JAX","Jacksonville, FL","FL",12,"Florida",33,1420,1504,44,44,1,2,"1400-1459",11,1515,2159,5,2135,2204,29,29,1,1,"2100-2159",0,"",0,255,240,224,1,1965,8,29,0,0,0,0,NA,NA,NA
2010,4,10,28,4,2010-10-28,"WN",19393,"WN","N457WN",707,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13891,1389101,32575,"ONT","Ontario, CA","CA",6,"California",91,1905,1904,-1,0,0,-1,"1900-1959",8,1912,1945,6,2000,1951,-9,0,0,-1,"2000-2059",0,"",0,55,47,33,1,197,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,29,5,2010-10-29,"WN",19393,"WN","N939WN",3039,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,10529,1052902,30529,"BDL","Hartford, CT","CT",9,"Connecticut",11,940,941,1,1,0,0,"0900-0959",9,950,1703,21,1735,1724,-11,0,0,-1,"1700-1759",0,"",0,295,283,253,1,2298,10,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,28,4,2010-10-28,"WN",19393,"WN","N686SW",1453,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,815,814,-1,0,0,-1,"0800-0859",15,829,1055,8,1105,1103,-2,0,0,-1,"1100-1159",0,"",0,110,109,86,1,629,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,15,5,2010-10-15,"WN",19393,"WN","N414WN",885,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14570,1457001,34570,"RNO","Reno, NV","NV",32,"Nevada",85,635,633,-2,0,0,-1,"0600-0659",9,642,741,3,755,744,-11,0,0,-1,"0700-0759",0,"",0,80,71,59,1,345,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,11,1,2010-10-11,"WN",19393,"WN","N296WN",1157,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14570,1457001,34570,"RNO","Reno, NV","NV",32,"Nevada",85,1825,2313,288,288,1,12,"1800-1859",12,2325,26,5,1945,31,286,286,1,12,"1900-1959",0,"",0,80,78,61,1,345,2,30,0,0,0,256,NA,NA,NA
2010,4,10,17,7,2010-10-17,"WN",19393,"WN","N485WN",1570,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13891,1389101,32575,"ONT","Ontario, CA","CA",6,"California",91,2125,2211,46,46,1,3,"2100-2159",14,2225,2306,5,2220,2311,51,51,1,3,"2200-2259",0,"",0,55,60,41,1,197,1,0,3,5,0,43,NA,NA,NA
2010,4,10,13,3,2010-10-13,"WN",19393,"WN","N441WN",1184,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,10140,1014001,30140,"ABQ","Albuquerque, NM","NM",35,"New Mexico",86,1015,1025,10,10,0,0,"1000-1059",8,1033,1244,4,1245,1248,3,3,0,0,"1200-1259",0,"",0,90,83,71,1,487,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,23,6,2010-10-23,"OO",20304,"OO","N294SW",6237,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11638,1163802,31638,"FAT","Fresno, CA","CA",6,"California",91,1636,1656,20,20,1,1,"1600-1659",7,1703,1808,2,1810,1810,0,0,0,0,"1800-1859",0,"",0,94,74,65,1,258,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,24,7,2010-10-24,"WN",19393,"WN","N713SW",1119,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,10800,1080002,32575,"BUR","Burbank, CA","CA",6,"California",91,1705,1704,-1,0,0,-1,"1700-1759",15,1719,1804,4,1810,1808,-2,0,0,-1,"1800-1859",0,"",0,65,64,45,1,223,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,29,5,2010-10-29,"YV",20378,"YV","N915FJ",2791,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11638,1163802,31638,"FAT","Fresno, CA","CA",6,"California",91,2135,2125,-10,0,0,-1,"2100-2159",15,2140,2219,9,2240,2228,-12,0,0,-1,"2200-2259",0,"",0,65,63,39,1,258,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,4,1,2010-10-04,"DL",19790,"DL","N585NW",1850,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,1325,1328,3,3,0,0,"1300-1359",72,1440,1917,4,1834,1921,47,47,1,3,"1800-1859",0,"",0,189,233,157,1,1300,6,0,0,47,0,0,NA,NA,NA
2010,4,10,2,6,2010-10-02,"UA",19977,"UA","N593UA",349,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,2024,2019,-5,0,0,-1,"2000-2059",14,2033,2112,38,2144,2150,6,6,0,0,"2100-2159",0,"",0,80,91,39,1,236,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,5,2,2010-10-05,"UA",19977,"UA","N841UA",94,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1615,1607,-8,0,0,-1,"1600-1659",10,1617,1839,26,1910,1905,-5,0,0,-1,"1900-1959",0,"",0,115,118,82,1,629,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,26,2,2010-10-26,"WN",19393,"WN","N432WN",1356,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,1215,1243,28,28,1,1,"1200-1259",10,1253,1337,8,1330,1345,15,15,1,1,"1300-1359",0,"",0,75,62,44,1,236,1,0,0,0,0,15,NA,NA,NA
2010,4,10,23,6,2010-10-23,"US",20355,"US","N172US",1794,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,2259,2257,-2,0,0,-1,"2200-2259",14,2311,556,7,603,603,0,0,0,0,"0600-0659",0,"",0,244,246,225,1,1916,8,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,2,6,2010-10-02,"WN",19393,"WN","N428WN",3273,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,13871,1387101,33316,"OMA","Omaha, NE","NE",31,"Nebraska",65,1245,1254,9,9,0,0,"1200-1259",12,1306,1727,3,1725,1730,5,5,0,0,"1700-1759",0,"",0,160,156,141,1,1099,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,8,5,2010-10-08,"DL",19790,"DL","N3764D",322,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,2159,2152,-7,0,0,-1,"2100-2159",12,2204,522,7,550,529,-21,0,0,-2,"0001-0559",0,"",0,291,277,258,1,2248,9,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,7,4,2010-10-07,"AS",19930,"AS","N323AS",601,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,1110,1101,-9,0,0,-1,"1100-1159",20,1121,1330,6,1345,1336,-9,0,0,-1,"1300-1359",0,"",0,155,155,129,1,866,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,13,3,2010-10-13,"WN",19393,"WN","N768SW",545,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12451,1245101,31136,"JAX","Jacksonville, FL","FL",12,"Florida",33,940,958,18,18,1,1,"0900-0959",18,1016,1709,4,1655,1713,18,18,1,1,"1600-1659",0,"",0,255,255,233,1,1965,8,14,0,0,0,4,NA,NA,NA
2010,4,10,23,6,2010-10-23,"DL",19790,"DL","N354NW",2316,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1115,1117,2,2,0,0,"1100-1159",26,1143,1813,4,1819,1817,-2,0,0,-1,"1800-1859",0,"",0,244,240,210,1,1750,8,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,13,3,2010-10-13,"WN",19393,"WN","N703SW",1255,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,1425,1428,3,3,0,0,"1400-1459",15,1443,1523,14,1535,1537,2,2,0,0,"1500-1559",0,"",0,70,69,40,1,236,1,NA,NA,NA,NA,NA,NA,NA,NA
