"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,1,1,4,1,2010-01-04,"AA",19805,"AA","N4XHAA",1081,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1930,1923,-7,0,0,-1,"1900-1959",17,1940,2042,8,2125,2050,-35,0,0,-2,"2100-2159",0,"",0,175,147,122,1,867,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,15,5,2010-01-15,"AA",19805,"AA","N622AA",1625,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,820,817,-3,0,0,-1,"0800-0859",20,837,1124,12,1150,1136,-14,0,0,-1,"1100-1159",0,"",0,270,259,227,1,1562,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,16,6,2010-01-16,"B6",20409,"B6","N656JB",423,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14027,1402701,34027,"PBI","West Palm Beach/Palm Beach, FL","FL",12,"Florida",33,941,1003,22,22,1,1,"0900-0959",18,1021,1312,3,1300,1315,15,15,1,1,"1300-1359",0,"",0,199,192,171,1,1197,5,15,0,0,0,0,NA,NA,NA
2010,1,1,15,5,2010-01-15,"OH",20417,"OH","N549CA",6521,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,1700,1700,0,0,0,0,"1700-1759",26,1726,1810,10,1844,1820,-24,0,0,-2,"1800-1859",0,"",0,104,80,44,1,187,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,11,1,2010-01-11,"US",20355,"US","N114UW",1177,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,940,940,0,0,0,0,"0900-0959",15,955,1143,4,1206,1147,-19,0,0,-2,"1200-1259",0,"",0,146,127,108,1,728,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,6,3,2010-01-06,"MQ",20398,"MQ","N843MQ",4596,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11278,1127801,30852,"DCA","Washington, DC","VA",51,"Virginia",38,1015,1009,-6,0,0,-1,"1000-1059",12,1021,1125,2,1200,1127,-33,0,0,-2,"1200-1259",0,"",0,105,78,64,1,399,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,27,3,2010-01-27,"MQ",20398,"MQ","N828MQ",4559,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11066,1106601,31066,"CMH","Columbus, OH","OH",39,"Ohio",44,1730,1722,-8,0,0,-1,"1700-1759",14,1736,1931,6,1950,1937,-13,0,0,-1,"1900-1959",0,"",0,140,135,115,1,640,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,23,6,2010-01-23,"B6",20409,"B6","N607JB",459,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11697,1169702,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,1850,1837,-13,0,0,-1,"1800-1859",10,1847,2139,3,2217,2142,-35,0,0,-2,"2200-2259",0,"",0,207,185,172,1,1237,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,17,7,2010-01-17,"US",20355,"US","N747UW",2029,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11278,1127801,30852,"DCA","Washington, DC","VA",51,"Virginia",38,1000,947,-13,0,0,-1,"1000-1059",16,1003,1120,3,1130,1123,-7,0,0,-1,"1100-1159",0,"",0,90,96,77,1,399,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,1,5,2010-01-01,"B6",20409,"B6","N646JB",1001,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,600,559,-1,0,0,-1,"0600-0659",36,635,722,6,714,728,14,14,0,0,"0700-0759",0,"",0,74,89,47,1,187,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,18,1,2010-01-18,"UA",19977,"UA","N830UA",527,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,600,606,6,6,0,0,"0600-0659",104,750,905,6,751,911,80,80,1,5,"0700-0759",0,"",0,171,245,135,1,867,4,0,0,80,0,0,NA,NA,NA
2010,1,1,23,6,2010-01-23,"UA",19977,"UA","N551UA",339,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,744,748,4,4,0,0,"0700-0759",12,800,956,14,1034,1010,-24,0,0,-2,"1000-1059",0,"",0,290,262,236,1,1754,8,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,12,2,2010-01-12,"US",20355,"US","N722US",1153,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14100,1410001,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,630,624,-6,0,0,-1,"0600-0659",13,637,735,2,801,737,-24,0,0,-2,"0800-0859",0,"",0,91,73,58,1,280,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,7,4,2010-01-07,"WN",19393,"WN","N936WN",3308,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,905,NA,NA,NA,NA,NA,"0900-0959",NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,"1100-1159",1,"B",0,175,NA,NA,1,861,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,2,6,2010-01-02,"DL",19790,"DL","N764NC",7215,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1815,1955,100,100,1,6,"1800-1859",29,2024,2157,19,2046,2216,90,90,1,6,"2000-2059",0,"",0,151,141,93,1,632,3,2,0,0,0,88,NA,NA,NA
2010,1,1,13,3,2010-01-13,"AA",19805,"AA","N531AA",2337,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1235,1245,10,10,0,0,"1200-1259",13,1258,1416,7,1435,1423,-12,0,0,-1,"1400-1459",0,"",0,180,158,138,1,867,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,9,6,2010-01-09,"CO",19704,"CO","N13624",1119,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11618,1161801,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,730,727,-3,0,0,-1,"0700-0759",15,742,828,9,850,837,-13,0,0,-1,"0800-0859",0,"",0,80,70,46,1,200,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,21,4,2010-01-21,"AA",19805,"AA","N5CFAA",883,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,15024,1502403,34945,"STT","Charlotte Amalie, VI","VI",78,"U.S. Virgin Islands",4,910,903,-7,0,0,-1,"0900-0959",16,919,1349,4,1405,1353,-12,0,0,-1,"1400-1459",0,"",0,235,230,210,1,1693,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,14,4,2010-01-14,"DL",19790,"DL","N347NB",2279,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,1345,1343,-2,0,0,-1,"1300-1359",16,1359,1549,6,1612,1555,-17,0,0,-2,"1600-1659",0,"",0,207,192,170,1,1124,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,12,2,2010-01-12,"B6",20409,"B6","N662JB",421,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14027,1402701,34027,"PBI","West Palm Beach/Palm Beach, FL","FL",12,"Florida",33,630,646,16,16,1,1,"0600-0659",14,700,948,3,942,951,9,9,0,0,"0900-0959",0,"",0,192,185,168,1,1197,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,20,3,2010-01-20,"MQ",20398,"MQ","N843MQ",4560,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC",37,"North Carolina",36,1115,1110,-5,0,0,-1,"1100-1159",14,1124,1304,5,1325,1309,-16,0,0,-2,"1300-1359",0,"",0,130,119,100,1,612,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,24,7,2010-01-24,"AA",19805,"AA","N5DCAA",883,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,15024,1502403,34945,"STT","Charlotte Amalie, VI","VI",78,"U.S. Virgin Islands",4,910,900,-10,0,0,-1,"0900-0959",12,912,1323,3,1405,1326,-39,0,0,-2,"1400-1459",0,"",0,235,206,191,1,1693,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,8,5,2010-01-08,"B6",20409,"B6","N510JB",423,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14027,1402701,34027,"PBI","West Palm Beach/Palm Beach, FL","FL",12,"Florida",33,941,942,1,1,0,0,"0900-0959",38,1020,1325,5,1300,1330,30,30,1,2,"1300-1359",0,"",0,199,228,185,1,1197,5,1,0,29,0,0,NA,NA,NA
2010,1,1,24,7,2010-01-24,"WN",19393,"WN","N200WN",416,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1300,1305,5,5,0,0,"1300-1359",14,1319,1450,5,1455,1455,0,0,0,0,"1400-1459",0,"",0,175,170,151,1,861,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,8,5,2010-01-08,"US",20355,"US","N945UW",1759,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14100,1410001,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,1830,2009,99,99,1,6,"1800-1859",41,2050,2147,4,2009,2151,102,102,1,6,"2000-2059",0,"",0,99,102,57,1,280,2,99,0,3,0,0,NA,NA,NA
2010,1,1,11,1,2010-01-11,"B6",20409,"B6","N229JB",1293,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14122,1412201,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,1615,1847,152,152,1,10,"1600-1659",14,1901,2020,5,1806,2025,139,139,1,9,"1800-1859",0,"",0,111,98,79,1,496,2,2,0,0,0,137,NA,NA,NA
2010,1,1,10,7,2010-01-10,"MQ",20398,"MQ","N721MQ",4622,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,1250,1250,0,0,0,0,"1200-1259",18,1308,1345,7,1400,1352,-8,0,0,-1,"1400-1459",0,"",0,70,62,37,1,187,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,31,7,2010-01-31,"US",20355,"US","N830AW",524,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,940,935,-5,0,0,-1,"0900-0959",18,953,1339,9,1341,1348,7,7,0,0,"1300-1359",0,"",0,361,373,346,1,2300,10,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,22,5,2010-01-22,"DL",19790,"DL","N940DL",1855,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,805,757,-8,0,0,-1,"0800-0859",13,810,1031,10,1119,1041,-38,0,0,-2,"1100-1159",0,"",0,194,164,141,1,946,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,8,5,2010-01-08,"B6",20409,"B6","N523JB",461,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14635,1463501,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,815,840,25,25,1,1,"0800-0859",12,852,1212,3,1153,1215,22,22,1,1,"1100-1159",0,"",0,218,215,200,1,1249,5,0,22,0,0,0,NA,NA,NA
2010,1,1,22,5,2010-01-22,"US",20355,"US","N955UW",2135,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,1600,1552,-8,0,0,-1,"1600-1659",18,1610,1656,8,1714,1704,-10,0,0,-1,"1700-1759",0,"",0,74,72,46,1,185,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,1,5,2010-01-01,"B6",20409,"B6","N615JB",411,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14679,1467902,33570,"SAN","San Diego, CA","CA",6,"California",91,1755,1753,-2,0,0,-1,"1700-1759",16,1809,2111,2,2127,2113,-14,0,0,-1,"2100-2159",0,"",0,392,380,362,1,2588,11,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,11,1,2010-01-11,"DL",19790,"DL","N963DL",1387,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,1330,1348,18,18,1,1,"1300-1359",17,1405,1444,2,1446,1446,0,0,0,0,"1400-1459",0,"",0,76,58,39,1,185,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,15,5,2010-01-15,"AA",19805,"AA","N579AA",2337,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1235,1227,-8,0,0,-1,"1200-1259",12,1239,1403,16,1435,1419,-16,0,0,-2,"1400-1459",0,"",0,180,172,144,1,867,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,2,6,2010-01-02,"B6",20409,"B6","N570JB",1251,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12264,1226401,30852,"IAD","Washington, DC","VA",51,"Virginia",38,835,851,16,16,1,1,"0800-0859",54,945,1054,6,1018,1100,42,42,1,2,"1000-1059",0,"",0,103,129,69,1,413,2,0,0,26,0,16,NA,NA,NA
2010,1,1,11,1,2010-01-11,"UA",19977,"UA","N825UA",823,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12264,1226401,30852,"IAD","Washington, DC","VA",51,"Virginia",38,1420,1511,51,51,1,3,"1400-1459",9,1520,1629,5,1604,1634,30,30,1,2,"1600-1659",0,"",0,104,83,69,1,413,2,4,0,0,0,26,NA,NA,NA
2010,1,1,6,3,2010-01-06,"US",20355,"US","N951UW",2121,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,900,852,-8,0,0,-1,"0900-0959",20,912,959,4,1017,1003,-14,0,0,-1,"1000-1059",0,"",0,77,71,47,1,185,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,4,1,2010-01-04,"DL",19790,"DL","N954DL",1773,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14635,1463501,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,1037,1044,7,7,0,0,"1000-1059",17,1101,1404,6,1428,1410,-18,0,0,-2,"1400-1459",0,"",0,231,206,183,1,1249,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,9,6,2010-01-09,"XE",20374,"XE","N13978",2673,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11042,1104201,30647,"CLE","Cleveland, OH","OH",39,"Ohio",44,600,554,-6,0,0,-1,"0600-0659",21,615,745,9,810,754,-16,0,0,-2,"0800-0859",0,"",0,130,120,90,1,563,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,16,6,2010-01-16,"UA",19977,"UA","N537UA",719,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,758,754,-4,0,0,-1,"0700-0759",13,807,1116,8,1152,1124,-28,0,0,-2,"1100-1159",0,"",0,414,390,369,1,2704,11,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,23,6,2010-01-23,"AA",19805,"AA","N620AA",1845,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13303,1330302,32467,"MIA","Miami, FL","FL",12,"Florida",33,645,645,0,0,0,0,"0600-0659",12,657,946,6,1020,952,-28,0,0,-2,"1000-1059",0,"",0,215,187,169,1,1258,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,28,4,2010-01-28,"DL",19790,"DL","N379DA",1269,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,1703,1702,-1,0,0,-1,"1700-1759",31,1733,2045,7,2042,2052,10,10,0,0,"2000-2059",0,"",0,339,350,312,1,2105,9,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,2,6,2010-01-02,"B6",20409,"B6","N197JB",1289,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14524,1452401,34524,"RIC","Richmond, VA","VA",51,"Virginia",38,2030,2314,164,164,1,10,"2000-2059",11,2325,37,3,2215,40,145,145,1,9,"2200-2259",0,"",0,105,86,72,1,474,2,51,0,0,0,94,NA,NA,NA
2010,1,1,29,5,2010-01-29,"WN",19393,"WN","N905WN",1818,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,925,925,0,0,0,0,"0900-0959",14,939,1049,3,1115,1052,-23,0,0,-2,"1100-1159",0,"",0,110,87,70,1,370,2,NA,NA,NA,NA,NA,NA,NA,NA
